Postcode,Month,Capacity (kW)
2603,2018-05,43
2603,2018-06,154
2603,2018-07,112
2603,2018-08,14
2603,2018-09,19
2603,2018-10,52
2603,2018-11,143
2603,2018-12,35
2603,2019-01,33
2603,2019-02,45
2603,2019-03,63
2603,2019-04,21
2603,2019-05,53
2603,2019-06,37
2603,2019-07,44
2603,2019-08,55
2603,2019-09,143
2603,2019-10,69
2603,2019-11,73
2603,2019-12,80
2603,2020-01,25
2603,2020-02,81
2603,2020-03,52
2603,2020-04,73
2603,2020-05,214
2603,2020-06,87
2603,2020-07,132
2603,2020-08,84
2603,2020-09,89
2603,2020-10,153
2603,2020-11,63
2603,2020-12,96
2603,2021-01,29
2603,2021-02,234
2603,2021-03,179
2603,2021-04,271
2603,2021-05,74
2603,2021-06,273
2603,2021-07,106
2603,2021-08,61
2603,2021-09,152
2603,2021-10,129
2603,2021-11,241
2603,2021-12,172
2603,2022-01,21
2603,2022-02,183
2603,2022-03,99
2603,2022-04,38
2603,2022-05,110
2603,2022-06,63
2603,2022-07,100
2603,2022-08,200
2603,2022-09,79
2603,2022-10,169
2603,2022-11,104
2603,2022-12,224
2603,2023-01,143
2603,2023-02,117
2603,2023-03,197
2603,2023-04,95
2603,2023-05,154
2603,2023-06,147
2603,2023-07,69
2603,2023-08,82
2603,2023-09,38
2603,2023-10,78
2603,2023-11,123
2603,2023-12,144
2603,2024-01,7
2603,2024-02,174
2603,2024-03,140
2603,2024-04,80
2603,2024-05,81
2603,2024-06,49
2603,2024-07,151
2603,2024-08,87
2603,2024-09,140
2603,2024-10,168
2603,2024-11,96
2603,2024-12,186
2603,2025-01,55
2603,2025-02,95
2603,2025-03,19
2603,2025-04,108
2603,2025-05,71
2603,2025-06,48
2603,2025-07,31
2603,2025-08,100
2603,2025-09,146
2603,2025-10,97
2603,2025-11,164
2603,2025-12,64
2604,2007-01,0
2604,2007-02,0
2604,2007-03,0
2604,2007-04,0
2604,2007-05,0
2604,2007-06,0
2604,2007-07,0
2604,2007-08,0
2604,2007-09,0
2604,2007-10,0
2604,2007-11,4
2604,2007-12,0
2604,2008-01,2
2604,2008-02,0
2604,2008-03,0
2604,2008-04,0
2604,2008-05,2
2604,2008-06,0
2604,2008-07,0
2604,2008-08,0
2604,2008-09,1
2604,2008-10,0
2604,2008-11,1
2604,2008-12,0
2604,2009-01,0
2604,2009-02,1
2604,2009-03,0
2604,2009-04,2
2604,2009-05,2
2604,2009-06,3
2604,2009-07,0
2604,2009-08,3
2604,2009-09,2
2604,2009-10,3
2604,2009-11,2
2604,2009-12,1
2604,2010-01,0
2604,2010-02,9
2604,2010-03,0
2604,2010-04,3
2604,2010-05,0
2604,2010-06,32
2604,2010-07,11
2604,2010-08,0
2604,2010-09,0
2604,2010-10,0
2604,2010-11,10
2604,2010-12,3
2604,2011-01,3
2604,2011-02,7
2604,2011-03,16
2604,2011-04,11
2604,2011-05,35
2604,2011-06,51
2604,2011-07,10
2604,2011-08,13
2604,2011-09,6
2604,2011-10,10
2604,2011-11,4
2604,2011-12,0
2604,2012-01,0
2604,2012-02,3
2604,2012-03,0
2604,2012-04,3
2604,2012-05,2
2604,2012-06,5
2604,2012-07,0
2604,2012-08,17
2604,2012-09,3
2604,2012-10,5
2604,2012-11,6
2604,2012-12,10
2604,2013-01,4
2604,2013-02,0
2604,2013-03,31
2604,2013-04,4
2604,2013-05,6
2604,2013-06,3
2604,2013-07,14
2604,2013-08,73
2604,2013-09,30
2604,2013-10,0
2604,2013-11,15
2604,2013-12,5
2604,2014-01,6
2604,2014-02,0
2604,2014-03,3
2604,2014-04,3
2604,2014-05,0
2604,2014-06,3
2604,2014-07,3
2604,2014-08,0
2604,2014-09,0
2604,2014-10,7
2604,2014-11,10
2604,2014-12,0
2604,2015-01,17
2604,2015-02,5
2604,2015-03,0
2604,2015-04,0
2604,2015-05,4
2604,2015-06,27
2604,2015-07,15
2604,2015-08,2
2604,2015-09,11
2604,2015-10,5
2604,2015-11,0
2604,2015-12,5
2604,2016-01,0
2604,2016-02,6
2604,2016-03,5
2604,2016-04,4
2604,2016-05,0
2604,2016-06,0
2604,2016-07,6
2604,2016-08,16
