,model,traing_window size,using_exog,eval_date,model aicc,peak_actual_afternoon,peak_predicted_afternoon_mean,peak_predicted_afternoon_hi,peak_predicted_afternoon_lo,time_of_peak_actual_afternoon,time_of_peak_predicted_afternoon,peak_actual_morning,peak_predicted_morning_mean,peak_predicted_morning_hi,peak_predicted_morning_lo,time_of_peak_actual_morning,time_of_peak_predicted_morning,mse,r2,mae,mape
48,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-18,31426.311548853013,11079.33,9817.933077651145,11136.033561858394,8499.832593443896,2020-02-18 04:00:00,2020-02-18 04:30:00,8995.53,8711.717070995666,9824.48949851619,7598.944643475143,2020-02-18 12:00:00,2020-02-18 12:00:00,440328.6591594803,0.7936835358724116,494.1492183578848,0.05077427837151973
49,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-19,31583.14311405233,9104.13,9514.296401344352,10665.098894177096,8363.49390851161,2020-02-19 05:30:00,2020-02-19 04:30:00,8023.3,8377.140494050047,9387.728490338339,7366.552497761755,2020-02-19 07:30:00,2020-02-19 12:00:00,136095.39720157813,0.8064932387374032,291.6053370437055,0.03602692782919434
50,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-20,31466.232078080848,8722.59,8924.865181991361,10283.277048571614,7593.5209637176085,2020-02-20 05:30:00,2020-02-20 04:30:00,7923.32,7913.754510608887,9038.264361686035,6865.580279556264,2020-02-20 07:00:00,2020-02-20 12:00:00,98015.69420330365,0.7865369118125308,259.2955236573843,0.03444050221040298
51,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-21,31576.448786401936,8413.87,9026.98497466504,10396.197135851935,7668.198017656183,2020-02-21 04:00:00,2020-02-21 05:30:00,8156.79,8090.316552330009,9226.429023159555,7087.619748058332,2020-02-21 07:30:00,2020-02-21 12:00:00,87677.5522218921,0.7940041136138232,224.54023136820297,0.028269734731019115
52,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-22,31622.205204501388,7801.96,8807.604914386156,10157.545291618168,7490.444540198054,2020-02-22 06:30:00,2020-02-22 05:30:00,7459.01,7876.707342623158,8979.552847677121,6900.465056130053,2020-02-22 09:30:00,2020-02-22 09:30:00,457056.0254901503,-0.7540054104815133,574.918706019769,0.07902913593553064
53,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-23,31830.620057433018,8139.82,8692.461081129106,10071.821116630585,7316.523108478661,2020-02-23 07:00:00,2020-02-23 04:30:00,7230.13,7785.604446271631,8937.47720485299,6734.659870692996,2020-02-23 12:00:00,2020-02-23 09:30:00,315331.4674666221,0.1881308465787217,479.43290194042464,0.06623574722525004
54,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-24,31791.372250215372,9418.22,9092.738791348413,10470.066346465104,7715.411236231721,2020-02-24 04:30:00,2020-02-24 04:30:00,8379.59,8206.64221193741,9369.298163891657,7043.986259983161,2020-02-24 08:30:00,2020-02-24 12:00:00,103600.15993895305,0.8947743179245862,286.094008603365,0.03519498921890006
55,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-25,32802.143333722976,10252.21,9760.063886081567,11679.564978738463,7840.562793424671,2020-02-25 04:30:00,2020-02-25 05:30:00,8575.2,8625.261433202846,10198.171406361573,7339.222435136657,2020-02-25 12:00:00,2020-02-25 12:00:00,65098.35419036073,0.9483528567831947,192.71449779096733,0.022935144371552432
56,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-26,31547.80108083122,10196.1,9676.859341310603,11041.257091617626,8334.556393571951,2020-02-26 04:30:00,2020-02-26 05:30:00,9456.92,8790.663181893415,9911.771338422173,7669.555025364656,2020-02-26 12:00:00,2020-02-26 12:00:00,103983.70348670664,0.9236598113815496,278.6507276692689,0.03170142837052411
57,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-27,31809.8669883902,9024.06,9214.73970834,10621.7628536569,7807.716563023098,2020-02-27 05:30:00,2020-02-27 05:30:00,8296.81,8275.335892543459,9306.04839519446,7279.940887097213,2020-02-27 07:30:00,2020-02-27 08:30:00,90672.9065957738,0.839108912531118,251.00358572313553,0.0316757928181921
58,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-28,32008.431912979042,8559.55,9383.357666423428,10846.117700037476,7920.59763280938,2020-02-28 04:30:00,2020-02-28 05:30:00,8030.79,8509.930074667056,9590.170875587111,7565.790721575378,2020-02-28 07:00:00,2020-02-28 07:00:00,397195.56926811324,-0.005209832109085211,566.77737319964,0.07368771669840546
59,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-02-29,31762.732430638916,8329.8,8861.854432554486,10235.946781874562,7515.1600411578565,2020-02-29 06:00:00,2020-02-29 05:00:00,7253.97,7920.5908587322265,9025.439273830456,7002.428208349702,2020-02-29 08:30:00,2020-02-29 09:30:00,349842.52647604136,0.12651977142235893,496.01472088774653,0.06818922352183837
60,"(1, 1, 1, 1, 48, 0, 0)",2688,True,2020-03-01,31989.271483958906,9781.28,9377.434537692607,10788.04791027138,7966.8211651138345,2020-03-01 05:30:00,2020-03-01 04:30:00,7047.34,8327.586187900673,9452.272432440614,7272.135296575458,2020-03-01 12:00:00,2020-03-01 09:30:00,730756.0210995026,0.46849955628417694,726.9193434344294,0.10395136921596763
