,model,traing_window size,using_exog,eval_date,model aicc,peak_actual_afternoon,peak_predicted_afternoon_mean,peak_predicted_afternoon_hi,peak_predicted_afternoon_lo,time_of_peak_actual_afternoon,time_of_peak_predicted_afternoon,peak_actual_morning,peak_predicted_morning_mean,peak_predicted_morning_hi,peak_predicted_morning_lo,time_of_peak_actual_morning,time_of_peak_predicted_morning,mse,r2,mae,mape
220,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-08-08,30667.00145982981,10366.24,11002.725060002413,13640.350185775014,8365.099934229811,2020-08-08 06:00:00,2020-08-08 06:00:00,8569.32,9776.019558492117,12322.109996938108,7785.548862216681,2020-08-08 12:00:00,2020-08-08 08:30:00,362215.17248605465,0.665988931415546,442.5214845739768,0.05274665918784347
221,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-08-09,30802.912386270164,11721.16,11081.5156985051,15252.060753123282,6910.970643886919,2020-08-09 06:00:00,2020-08-09 06:00:00,8410.79,9207.451911266427,13252.042587279502,7613.871652548107,2020-08-09 09:30:00,2020-08-09 08:30:00,339831.7776779978,0.8538687830763885,472.19203403662,0.055099441120881186
222,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-08-10,30701.322535110445,11735.61,11594.648567468394,15682.28808503076,7507.009049906029,2020-08-10 06:00:00,2020-08-10 06:00:00,10253.66,9543.984250570182,13511.125144739135,7417.460673342369,2020-08-10 08:30:00,2020-08-10 08:30:00,86618.06787946443,0.9574206905185241,228.85137166054574,0.025625010830919004
223,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-08-11,30706.220737998967,11064.42,11522.898865624797,15639.031173096759,7406.766558152835,2020-08-11 06:30:00,2020-08-11 06:00:00,10038.59,9677.769136038609,13668.95004046236,7898.712246010935,2020-08-11 08:00:00,2020-08-11 08:30:00,284603.2466927679,0.7963201864543066,401.4829701945103,0.04673100174739416
224,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-08-12,30721.99603490991,10863.32,11550.505295793992,15457.984621147507,7643.025970440476,2020-08-12 06:00:00,2020-08-12 06:00:00,10024.51,9826.5670615118,13602.461378296683,7878.709458411328,2020-08-12 08:00:00,2020-08-12 08:30:00,118676.8393416092,0.901137496561885,255.40088105679993,0.02701817532001942
225,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-08-13,30733.83745047588,9890.78,11549.834233678412,15241.79352015903,7857.8749471977935,2020-08-13 06:30:00,2020-08-13 06:00:00,9382.7,9877.110963857267,13429.124097047887,7749.589903511038,2020-08-13 08:00:00,2020-08-13 08:00:00,1066404.5913946608,-0.11617679707107986,845.7866499715188,0.10350371103530513
226,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-08-14,30767.97350503472,10496.57,10853.450790077914,14484.03846326512,7222.863116890707,2020-08-14 05:30:00,2020-08-14 06:00:00,9505.95,9928.476543752942,13415.749277279392,7533.264826342125,2020-08-14 08:00:00,2020-08-14 08:30:00,169148.24444588594,0.8370571418818343,309.41938935631805,0.03474103489750702
227,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-08-15,30825.571925132685,9595.14,9909.565707120579,14115.213327824513,5703.918086416645,2020-08-15 06:00:00,2020-08-15 06:00:00,8378.45,8548.983896545134,12572.751146895176,7307.204592082988,2020-08-15 00:00:00,2020-08-15 08:00:00,132406.13570872802,0.7988600132080662,342.6559714567479,0.04443216386207464
228,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-08-16,30795.408290635827,9690.76,10175.56559321843,13545.190909140718,6805.940277296143,2020-08-16 06:00:00,2020-08-16 06:00:00,7687.98,8253.914351796033,11494.803411833997,7431.578898115893,2020-08-16 00:00:00,2020-08-16 08:30:00,487330.2787075212,0.5414795269042474,626.5716398891487,0.08791020330610332
229,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-08-17,30746.89129501553,10247.62,9859.53728468134,13356.27952820982,6362.795041152862,2020-08-17 06:00:00,2020-08-17 06:00:00,9068.67,8374.066357440082,11712.86032517501,6892.991894483591,2020-08-17 07:30:00,2020-08-17 08:00:00,96400.21570404155,0.9267811092221525,231.27632671005415,0.028018289413827863
230,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-08-18,30745.62753907791,9933.88,9942.759659863776,13237.484610954845,6648.034708772706,2020-08-18 06:00:00,2020-08-18 06:00:00,9352.1,8864.886525528273,11998.674197774422,7609.414617668877,2020-08-18 08:00:00,2020-08-18 08:00:00,104806.95497160283,0.886706469236542,238.89465107393175,0.030206782894997796
231,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-08-19,30770.329794035813,10533.06,9984.120057727443,13542.874583814712,6425.3655316401755,2020-08-19 06:00:00,2020-08-19 06:00:00,8992.73,8844.214065645821,12223.91722397479,7442.07626857228,2020-08-19 07:30:00,2020-08-19 08:00:00,89284.01300801152,0.9261496616736847,235.05583248199173,0.026897666303964878
232,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-08-20,30801.064011012637,10685.63,9913.629507834557,13385.482340190187,6441.776675478928,2020-08-20 06:00:00,2020-08-20 06:30:00,9274.45,8805.363632253604,12108.471613729573,7684.541049347467,2020-08-20 08:00:00,2020-08-20 08:00:00,257408.16211615564,0.8081452321830029,443.9540372877113,0.0519881349862392
233,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-08-21,30845.53044098119,10454.05,10514.20318897022,14320.731743990913,6707.674633949526,2020-08-21 06:00:00,2020-08-21 06:00:00,9428.21,9248.339545379393,12873.417843647592,7677.4914571624095,2020-08-21 08:00:00,2020-08-21 08:00:00,14657.50603685034,0.9860840608841737,100.19413318329539,0.011892103179935339
234,"(1, 5, 3, 0, 48, 0, 1)",2688,True,2020-08-22,30853.57734426182,10765.92,9937.291272476781,14231.532823172807,5643.049721780755,2020-08-22 06:00:00,2020-08-22 06:00:00,8641.93,8586.412702526432,12670.030101742279,7451.534345634843,2020-08-22 08:30:00,2020-08-22 08:00:00,308675.7683692715,0.7713829699534263,506.1817499037231,0.05908020212652168
